,vbias,rbias,ibias,ibias_meas,counts,vtrig,count_time,count_rate,att_db,delay,port
143,0.3575,100000,3.58E-06,3.51E-06,21799,0.03,0.5,43598,20,0.1,4
144,0.36,100000,3.60E-06,3.53E-06,25275,0.03,0.5,50550,20,0.1,4
145,0.3625,100000,3.63E-06,3.56E-06,27524,0.03,0.5,55048,20,0.1,4
146,0.365,100000,3.65E-06,3.58E-06,30857,0.03,0.5,61714,20,0.1,4
147,0.3675,100000,3.68E-06,3.61E-06,33095,0.03,0.5,66190,20,0.1,4
148,0.37,100000,3.70E-06,3.63E-06,35854,0.03,0.5,71708,20,0.1,4
149,0.3725,100000,3.73E-06,3.66E-06,38087,0.03,0.5,76174,20,0.1,4
150,0.375,100000,3.75E-06,3.68E-06,41002,0.03,0.5,82004,20,0.1,4
151,0.3775,100000,3.78E-06,3.71E-06,42458,0.03,0.5,84916,20,0.1,4
152,0.38,100000,3.80E-06,3.73E-06,45273,0.03,0.5,90546,20,0.1,4
153,0.3825,100000,3.83E-06,3.76E-06,46735,0.03,0.5,93470,20,0.1,4
154,0.385,100000,3.85E-06,3.78E-06,49266,0.03,0.5,98532,20,0.1,4
155,0.3875,100000,3.88E-06,3.81E-06,50922,0.03,0.5,101844,20,0.1,4
156,0.39,100000,3.90E-06,3.83E-06,53669,0.03,0.5,107338,20,0.1,4
157,0.3925,100000,3.93E-06,3.86E-06,55116,0.03,0.5,110232,20,0.1,4
158,0.395,100000,3.95E-06,3.88E-06,57461,0.03,0.5,114922,20,0.1,4
159,0.3975,100000,3.98E-06,3.91E-06,59034,0.03,0.5,118068,20,0.1,4
160,0.4,100000,4.00E-06,3.93E-06,60879,0.03,0.5,121758,20,0.1,4
161,0.4025,100000,4.03E-06,3.96E-06,62839,0.03,0.5,125678,20,0.1,4
162,0.405,100000,4.05E-06,3.98E-06,64768,0.03,0.5,129536,20,0.1,4
163,0.4075,100000,4.08E-06,4.01E-06,65989,0.03,0.5,131978,20,0.1,4
164,0.41,100000,4.10E-06,4.03E-06,67615,0.03,0.5,135230,20,0.1,4
165,0.4125,100000,4.13E-06,4.06E-06,69323,0.03,0.5,138646,20,0.1,4
166,0.415,100000,4.15E-06,4.08E-06,70742,0.03,0.5,141484,20,0.1,4
167,0.4175,100000,4.18E-06,4.11E-06,72295,0.03,0.5,144590,20,0.1,4
168,0.42,100000,4.20E-06,4.13E-06,73801,0.03,0.5,147602,20,0.1,4
169,0.4225,100000,4.23E-06,4.16E-06,75356,0.03,0.5,150712,20,0.1,4
170,0.425,100000,4.25E-06,4.18E-06,76820,0.03,0.5,153640,20,0.1,4
171,0.4275,100000,4.28E-06,4.21E-06,78172,0.03,0.5,156344,20,0.1,4
172,0.43,100000,4.30E-06,4.23E-06,79936,0.03,0.5,159872,20,0.1,4
173,0.4325,100000,4.33E-06,4.26E-06,80864,0.03,0.5,161728,20,0.1,4
174,0.435,100000,4.35E-06,4.28E-06,82413,0.03,0.5,164826,20,0.1,4
175,0.4375,100000,4.38E-06,4.31E-06,83252,0.03,0.5,166504,20,0.1,4
176,0.44,100000,4.40E-06,4.33E-06,84313,0.03,0.5,168626,20,0.1,4
177,0.4425,100000,4.43E-06,4.36E-06,84668,0.03,0.5,169336,20,0.1,4
178,0.445,100000,4.45E-06,4.38E-06,85560,0.03,0.5,171120,20,0.1,4
179,0.4475,100000,4.48E-06,4.41E-06,86609,0.03,0.5,173218,20,0.1,4
180,0.45,100000,4.50E-06,4.43E-06,88080,0.03,0.5,176160,20,0.1,4
181,0.4525,100000,4.53E-06,4.46E-06,88054,0.03,0.5,176108,20,0.1,4
182,0.455,100000,4.55E-06,4.48E-06,89628,0.03,0.5,179256,20,0.1,4
183,0.4575,100000,4.58E-06,4.51E-06,90110,0.03,0.5,180220,20,0.1,4
184,0.46,100000,4.60E-06,4.53E-06,90670,0.03,0.5,181340,20,0.1,4
185,0.4625,100000,4.63E-06,4.56E-06,91196,0.03,0.5,182392,20,0.1,4
186,0.465,100000,4.65E-06,4.58E-06,92442,0.03,0.5,184884,20,0.1,4
187,0.4675,100000,4.68E-06,4.61E-06,92927,0.03,0.5,185854,20,0.1,4
188,0.47,100000,4.70E-06,4.63E-06,92810,0.03,0.5,185620,20,0.1,4
189,0.4725,100000,4.73E-06,4.66E-06,93595,0.03,0.5,187190,20,0.1,4
190,0.475,100000,4.75E-06,4.68E-06,93553,0.03,0.5,187106,20,0.1,4
191,0.4775,100000,4.78E-06,4.71E-06,94316,0.03,0.5,188632,20,0.1,4
192,0.48,100000,4.80E-06,4.73E-06,94324,0.03,0.5,188648,20,0.1,4
193,0.4825,100000,4.83E-06,4.76E-06,94941,0.03,0.5,189882,20,0.1,4
194,0.485,100000,4.85E-06,4.78E-06,95090,0.03,0.5,190180,20,0.1,4
195,0.4875,100000,4.88E-06,4.81E-06,95479,0.03,0.5,190958,20,0.1,4
196,0.49,100000,4.90E-06,4.83E-06,95995,0.03,0.5,191990,20,0.1,4
197,0.4925,100000,4.93E-06,4.86E-06,96328,0.03,0.5,192656,20,0.1,4
198,0.495,100000,4.95E-06,4.88E-06,97004,0.03,0.5,194008,20,0.1,4
199,0.4975,100000,4.98E-06,4.91E-06,97178,0.03,0.5,194356,20,0.1,4
200,0.5,100000,5.00E-06,4.93E-06,97841,0.03,0.5,195682,20,0.1,4
201,0.5025,100000,5.03E-06,4.96E-06,98131,0.03,0.5,196262,20,0.1,4
202,0.505,100000,5.05E-06,4.98E-06,98378,0.03,0.5,196756,20,0.1,4
203,0.5075,100000,5.08E-06,5.01E-06,98673,0.03,0.5,197346,20,0.1,4
204,0.51,100000,5.10E-06,5.03E-06,98481,0.03,0.5,196962,20,0.1,4
205,0.5125,100000,5.13E-06,5.06E-06,97915,0.03,0.5,195830,20,0.1,4
206,0.515,100000,5.15E-06,5.08E-06,98985,0.03,0.5,197970,20,0.1,4
207,0.5175,100000,5.18E-06,5.11E-06,99186,0.03,0.5,198372,20,0.1,4
208,0.52,100000,5.20E-06,5.13E-06,98583,0.03,0.5,197166,20,0.1,4
209,0.5225,100000,5.23E-06,5.16E-06,99205,0.03,0.5,198410,20,0.1,4
210,0.525,100000,5.25E-06,5.18E-06,99645,0.03,0.5,199290,20,0.1,4
211,0.5275,100000,5.28E-06,5.21E-06,98878,0.03,0.5,197756,20,0.1,4
212,0.53,100000,5.30E-06,5.23E-06,99461,0.03,0.5,198922,20,0.1,4
213,0.5325,100000,5.33E-06,5.26E-06,99187,0.03,0.5,198374,20,0.1,4
214,0.535,100000,5.35E-06,5.28E-06,99171,0.03,0.5,198342,20,0.1,4
215,0.5375,100000,5.38E-06,5.31E-06,98720,0.03,0.5,197440,20,0.1,4
216,0.54,100000,5.40E-06,5.33E-06,98966,0.03,0.5,197932,20,0.1,4
217,0.5425,100000,5.43E-06,5.36E-06,99274,0.03,0.5,198548,20,0.1,4
218,0.545,100000,5.45E-06,5.38E-06,99704,0.03,0.5,199408,20,0.1,4
219,0.5475,100000,5.48E-06,5.41E-06,99861,0.03,0.5,199722,20,0.1,4
220,0.55,100000,5.50E-06,5.43E-06,100345,0.03,0.5,200690,20,0.1,4
221,0.5525,100000,5.53E-06,5.46E-06,100337,0.03,0.5,200674,20,0.1,4
222,0.555,100000,5.55E-06,5.48E-06,99799,0.03,0.5,199598,20,0.1,4
223,0.5575,100000,5.58E-06,5.51E-06,99638,0.03,0.5,199276,20,0.1,4
224,0.56,100000,5.60E-06,5.53E-06,99701,0.03,0.5,199402,20,0.1,4
225,0.5625,100000,5.63E-06,5.56E-06,100375,0.03,0.5,200750,20,0.1,4
226,0.565,100000,5.65E-06,5.58E-06,101152,0.03,0.5,202304,20,0.1,4
